task_id,split,pair_idx,shape_idx,area,bbox_height,bbox_width,bbox_area,density,eccentricity,dist_to_center,is_touching_border,relative_area,color_in,num_shapes_in_grid,grid_width,grid_height,changed
08ed6ac7,train,1,0,9,9,1,9,1.0,9.0,1.0,1,0.1111111111111111,5,4,9,9,1
08ed6ac7,train,1,1,8,8,1,8,1.0,8.0,3.0413812651491097,1,0.09876543209876543,5,4,9,9,1
08ed6ac7,train,1,2,6,6,1,6,1.0,6.0,1.8027756377319946,1,0.07407407407407407,5,4,9,9,1
08ed6ac7,train,1,3,3,3,1,3,1.0,3.0,4.242640687119285,1,0.037037037037037035,5,4,9,9,1
08ed6ac7,test,0,0,8,8,1,8,1.0,8.0,3.0413812651491097,1,0.09876543209876543,5,4,9,9,1
08ed6ac7,test,0,1,7,7,1,7,1.0,7.0,1.4142135623730951,1,0.08641975308641975,5,4,9,9,1
08ed6ac7,test,0,2,5,5,1,5,1.0,5.0,3.605551275463989,1,0.06172839506172839,5,4,9,9,1
08ed6ac7,test,0,3,3,3,1,3,1.0,3.0,3.1622776601683795,1,0.037037037037037035,5,4,9,9,1
0a2355a6,train,0,0,18,7,3,21,0.8571428571428571,2.3333333333333335,4.949747468305833,1,0.09183673469387756,8,4,14,14,1
0a2355a6,train,0,1,12,3,5,15,0.8,1.6666666666666667,5.1478150704935,0,0.061224489795918366,8,4,14,14,1
0a2355a6,train,0,2,17,5,5,25,0.68,1.0,2.801692518614084,0,0.08673469387755102,8,4,14,14,1
0a2355a6,train,0,3,8,3,3,9,0.8888888888888888,1.0,6.363961030678928,0,0.04081632653061224,8,4,14,14,1
0a2355a6,train,1,0,20,6,5,30,0.6666666666666666,1.2,3.658209944768069,0,0.12987012987012986,8,4,11,14,1
0a2355a6,train,1,1,8,3,3,9,0.8888888888888888,1.0,4.272001872658765,1,0.05194805194805195,8,4,11,14,1
0a2355a6,train,1,2,17,5,5,25,0.68,1.0,4.980324609700966,1,0.11038961038961038,8,4,11,14,1
0a2355a6,train,1,3,12,4,4,16,0.75,1.0,4.716990566028302,0,0.07792207792207792,8,4,11,14,1
0a2355a6,train,2,0,26,4,10,40,0.65,2.5,5.270493953025252,1,0.12380952380952381,8,4,14,15,1
0a2355a6,train,2,1,16,5,4,20,0.8,1.25,4.123105625617661,0,0.0761904761904762,8,4,14,15,1
0a2355a6,train,2,2,25,8,5,40,0.625,1.6,4.2400471695489435,0,0.11904761904761904,8,4,14,15,1
0a2355a6,train,2,3,8,3,3,9,0.8888888888888888,1.0,6.946221994724902,1,0.0380952380952381,8,4,14,15,1
0a2355a6,train,3,0,10,3,4,12,0.8333333333333334,1.3333333333333333,4.6097722286464435,1,0.10101010101010101,8,3,11,9,1
0a2355a6,train,3,1,8,3,3,9,0.8888888888888888,1.0,2.23606797749979,0,0.08080808080808081,8,3,11,9,1
0a2355a6,train,3,2,13,5,3,15,0.8666666666666667,1.6666666666666667,2.8284271247461903,1,0.13131313131313133,8,3,11,9,1
0a2355a6,test,0,0,28,5,9,45,0.6222222222222222,1.8,4.280502783743127,0,0.10980392156862745,8,4,17,15,1
0a2355a6,test,0,1,22,8,4,32,0.6875,2.0,6.2040043054053085,0,0.08627450980392157,8,4,17,15,1
0a2355a6,test,0,2,16,4,6,24,0.6666666666666666,1.5,4.949747468305833,0,0.06274509803921569,8,4,17,15,1
0a2355a6,test,0,3,20,4,7,28,0.7142857142857143,1.75,7.433034373659253,1,0.0784313725490196,8,4,17,15,1
1acc24af,train,0,0,20,3,12,36,0.5555555555555556,4.0,3.413209633175202,1,0.1388888888888889,1,5,12,12,0
1acc24af,train,0,1,8,4,3,12,0.6666666666666666,1.3333333333333333,3.473110997362451,0,0.05555555555555555,5,5,12,12,1
1acc24af,train,0,2,4,3,2,6,0.6666666666666666,1.5,4.031128874149275,0,0.027777777777777776,5,5,12,12,0
1acc24af,train,0,3,3,3,1,3,1.0,3.0,5.70087712549569,0,0.020833333333333332,5,5,12,12,1
1acc24af,train,0,4,4,2,2,4,1.0,1.0,6.4031242374328485,1,0.027777777777777776,5,5,12,12,1
1acc24af,train,1,0,16,3,12,36,0.4444444444444444,4.0,3.1349840509961133,1,0.1111111111111111,1,4,12,12,0
1acc24af,train,1,1,4,3,2,6,0.6666666666666666,1.5,4.6097722286464435,0,0.027777777777777776,5,4,12,12,0
1acc24af,train,1,2,5,2,3,6,0.8333333333333334,1.5,5.375872022286245,0,0.034722222222222224,5,4,12,12,1
1acc24af,train,1,3,4,2,2,4,1.0,1.0,4.0,0,0.027777777777777776,5,4,12,12,1
1acc24af,train,2,0,20,3,12,36,0.5555555555555556,4.0,2.4505101509685696,1,0.1388888888888889,1,5,12,12,0
1acc24af,train,2,1,5,3,3,9,0.5555555555555556,1.0,3.5355339059327378,0,0.034722222222222224,5,5,12,12,1
1acc24af,train,2,2,3,3,1,3,1.0,3.0,4.301162633521313,0,0.020833333333333332,5,5,12,12,0
1acc24af,train,2,3,4,3,2,6,0.6666666666666666,1.5,6.45174395028197,1,0.027777777777777776,5,5,12,12,0
1acc24af,train,2,4,4,2,3,6,0.6666666666666666,1.5,6.189709201569974,1,0.027777777777777776,5,5,12,12,1
1acc24af,train,3,0,16,3,12,36,0.4444444444444444,4.0,0.2795084971874737,1,0.1111111111111111,1,3,12,12,0
1acc24af,train,3,1,3,3,1,3,1.0,3.0,3.8078865529319543,0,0.020833333333333332,5,3,12,12,0
1acc24af,train,3,2,4,2,2,4,1.0,1.0,5.656854249492381,0,0.027777777777777776,5,3,12,12,1
1acc24af,test,0,0,20,3,12,36,0.5555555555555556,4.0,2.3547823678633235,1,0.1388888888888889,1,5,12,12,0
1acc24af,test,0,1,5,4,2,8,0.625,2.0,3.1016124838541645,0,0.034722222222222224,5,5,12,12,1
1acc24af,test,0,2,4,3,2,6,0.6666666666666666,1.5,5.315072906367325,0,0.027777777777777776,5,5,12,12,1
1acc24af,test,0,3,3,3,1,3,1.0,3.0,5.70087712549569,0,0.020833333333333332,5,5,12,12,1
1acc24af,test,0,4,4,2,2,4,1.0,1.0,4.47213595499958,0,0.027777777777777776,5,5,12,12,0
2a5f8217,train,1,0,5,3,3,9,0.5555555555555556,1.0,2.1213203435596424,1,0.1388888888888889,1,2,6,6,1
2a5f8217,train,1,1,5,3,3,9,0.5555555555555556,1.0,2.1213203435596424,1,0.1388888888888889,8,2,6,6,0
37d3e8b2,train,0,0,19,4,6,24,0.7916666666666666,1.5,6.427089483146841,0,0.0657439446366782,8,6,17,17,1
37d3e8b2,train,0,1,22,5,5,25,0.88,1.0,7.103281746506183,0,0.07612456747404844,8,6,17,17,1
37d3e8b2,train,0,2,17,5,4,20,0.85,1.25,1.5305425683832572,0,0.058823529411764705,8,6,17,17,1
37d3e8b2,train,0,3,14,4,4,16,0.875,1.0,4.536136088373551,0,0.04844290657439446,8,6,17,17,1
37d3e8b2,train,0,4,18,4,5,20,0.9,1.25,7.433034373659253,0,0.06228373702422145,8,6,17,17,1
37d3e8b2,train,0,5,30,5,7,35,0.8571428571428571,1.4,7.238861175013035,1,0.10380622837370242,8,6,17,17,1
37d3e8b2,train,1,0,11,4,3,12,0.9166666666666666,1.3333333333333333,8.812556781365632,0,0.034055727554179564,8,5,17,19,1
37d3e8b2,train,1,1,31,5,7,35,0.8857142857142857,1.4,4.000520257529676,0,0.09597523219814241,8,5,17,19,1
37d3e8b2,train,1,2,17,3,7,21,0.8095238095238095,2.3333333333333335,4.123105625617661,0,0.05263157894736842,8,5,17,19,1
37d3e8b2,train,1,3,19,5,4,20,0.95,1.25,4.589823743289042,0,0.058823529411764705,8,5,17,19,1
37d3e8b2,train,1,4,17,5,4,20,0.85,1.25,7.564715030641253,0,0.05263157894736842,8,5,17,19,1
37d3e8b2,train,2,0,24,5,6,30,0.8,1.2,6.3120530644861415,0,0.08823529411764706,8,4,16,17,1
37d3e8b2,train,2,1,25,5,6,30,0.8333333333333334,1.2,4.228711387645177,0,0.09191176470588236,8,4,16,17,1
37d3e8b2,train,2,2,38,9,5,45,0.8444444444444444,1.8,4.626941458200842,0,0.13970588235294118,8,4,16,17,1
37d3e8b2,train,2,3,25,5,6,30,0.8333333333333334,1.2,7.792432226205115,1,0.09191176470588236,8,4,16,17,1
37d3e8b2,test,0,0,17,4,5,20,0.85,1.25,7.848092797210875,1,0.05555555555555555,8,5,18,17,1
37d3e8b2,test,0,1,28,5,7,35,0.8,1.4,5.542277215612178,0,0.0915032679738562,8,5,18,17,1
37d3e8b2,test,0,2,10,3,4,12,0.8333333333333334,1.3333333333333333,5.0990195135927845,0,0.032679738562091505,8,5,18,17,1
37d3e8b2,test,0,3,51,9,7,63,0.8095238095238095,1.2857142857142858,5.402957098257696,0,0.16666666666666666,8,5,18,17,1
37d3e8b2,test,0,4,30,5,7,35,0.8571428571428571,1.4,6.6417032621325545,0,0.09803921568627451,8,5,18,17,1
3bd292e8,train,1,0,28,6,6,36,0.7777777777777778,1.0,1.3646409410387714,1,0.5714285714285714,7,2,7,7,1
3bd292e8,train,1,1,8,3,4,12,0.6666666666666666,1.3333333333333333,3.010398644698074,1,0.16326530612244897,7,2,7,7,1
4e7e0eb9,train,2,0,9,3,3,9,1.0,1.0,2.8284271247461903,0,0.1111111111111111,1,4,9,9,1
4e7e0eb9,train,2,1,9,3,3,9,1.0,1.0,2.8284271247461903,0,0.1111111111111111,1,4,9,9,1
4e7e0eb9,train,2,2,9,3,3,9,1.0,1.0,2.8284271247461903,0,0.1111111111111111,8,4,9,9,0
4e7e0eb9,train,2,3,9,3,3,9,1.0,1.0,2.8284271247461903,0,0.1111111111111111,1,4,9,9,1
4f537728,train,1,0,4,2,2,4,1.0,1.0,12.727922061357855,1,0.01,1,49,20,20,0
4f537728,train,1,1,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,2,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,1
4f537728,train,1,3,4,2,2,4,1.0,1.0,9.0,1,0.01,1,49,20,20,0
4f537728,train,1,4,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,0
4f537728,train,1,5,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,6,4,2,2,4,1.0,1.0,12.727922061357855,1,0.01,1,49,20,20,0
4f537728,train,1,7,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,8,4,2,2,4,1.0,1.0,8.48528137423857,0,0.01,1,49,20,20,0
4f537728,train,1,9,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,1
4f537728,train,1,10,4,2,2,4,1.0,1.0,6.0,0,0.01,1,49,20,20,0
4f537728,train,1,11,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,0
4f537728,train,1,12,4,2,2,4,1.0,1.0,8.48528137423857,0,0.01,1,49,20,20,0
4f537728,train,1,13,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,14,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,1
4f537728,train,1,15,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,1
4f537728,train,1,16,4,2,2,4,1.0,1.0,4.242640687119285,0,0.01,2,49,20,20,0
4f537728,train,1,17,4,2,2,4,1.0,1.0,3.0,0,0.01,1,49,20,20,1
4f537728,train,1,18,4,2,2,4,1.0,1.0,4.242640687119285,0,0.01,1,49,20,20,1
4f537728,train,1,19,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,1
4f537728,train,1,20,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,1
4f537728,train,1,21,4,2,2,4,1.0,1.0,9.0,1,0.01,1,49,20,20,0
4f537728,train,1,22,4,2,2,4,1.0,1.0,6.0,0,0.01,1,49,20,20,0
4f537728,train,1,23,4,2,2,4,1.0,1.0,3.0,0,0.01,1,49,20,20,1
4f537728,train,1,24,4,2,2,4,1.0,1.0,0.0,0,0.01,1,49,20,20,0
4f537728,train,1,25,4,2,2,4,1.0,1.0,3.0,0,0.01,1,49,20,20,0
4f537728,train,1,26,4,2,2,4,1.0,1.0,6.0,0,0.01,1,49,20,20,0
4f537728,train,1,27,4,2,2,4,1.0,1.0,9.0,1,0.01,1,49,20,20,0
4f537728,train,1,28,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,0
4f537728,train,1,29,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,0
4f537728,train,1,30,4,2,2,4,1.0,1.0,4.242640687119285,0,0.01,1,49,20,20,1
4f537728,train,1,31,4,2,2,4,1.0,1.0,3.0,0,0.01,1,49,20,20,0
4f537728,train,1,32,4,2,2,4,1.0,1.0,4.242640687119285,0,0.01,1,49,20,20,0
4f537728,train,1,33,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,0
4f537728,train,1,34,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,0
4f537728,train,1,35,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,36,4,2,2,4,1.0,1.0,8.48528137423857,0,0.01,1,49,20,20,0
4f537728,train,1,37,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,1
4f537728,train,1,38,4,2,2,4,1.0,1.0,6.0,0,0.01,1,49,20,20,0
4f537728,train,1,39,4,2,2,4,1.0,1.0,6.708203932499369,0,0.01,1,49,20,20,0
4f537728,train,1,40,4,2,2,4,1.0,1.0,8.48528137423857,0,0.01,1,49,20,20,0
4f537728,train,1,41,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,42,4,2,2,4,1.0,1.0,12.727922061357855,1,0.01,1,49,20,20,0
4f537728,train,1,43,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,44,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,1
4f537728,train,1,45,4,2,2,4,1.0,1.0,9.0,1,0.01,1,49,20,20,0
4f537728,train,1,46,4,2,2,4,1.0,1.0,9.486832980505138,1,0.01,1,49,20,20,0
4f537728,train,1,47,4,2,2,4,1.0,1.0,10.816653826391969,1,0.01,1,49,20,20,0
4f537728,train,1,48,4,2,2,4,1.0,1.0,12.727922061357855,1,0.01,1,49,20,20,0
63613498,train,0,0,3,2,2,4,0.75,1.0,5.421151989096865,1,0.03,3,6,10,10,0
63613498,train,0,1,7,4,4,16,0.4375,1.0,3.333503397022296,1,0.07,5,6,10,10,0
63613498,train,0,2,3,2,2,4,0.75,1.0,2.838231060987733,0,0.03,4,6,10,10,0
63613498,train,0,3,3,1,3,3,1.0,3.0,2.1213203435596424,0,0.03,7,6,10,10,0
63613498,train,0,4,3,2,2,4,0.75,1.0,4.478342947514801,0,0.03,9,6,10,10,1
63613498,train,0,5,4,2,2,4,1.0,1.0,5.656854249492381,1,0.04,8,6,10,10,0
776ffc46,train,0,0,11,6,6,36,0.3055555555555556,1.0,8.292434070278603,1,0.0275,5,8,20,20,0
776ffc46,train,0,1,24,7,7,49,0.4897959183673469,1.0,9.192388155425117,1,0.06,5,8,20,20,0
776ffc46,train,0,2,3,3,1,3,1.0,3.0,10.606601717798213,0,0.0075,2,8,20,20,0
776ffc46,train,0,3,6,2,3,6,1.0,1.5,9.5524865872714,0,0.015,2,8,20,20,0
776ffc46,train,0,4,3,3,1,3,1.0,3.0,5.70087712549569,0,0.0075,1,8,20,20,0
776ffc46,train,0,5,6,2,3,6,1.0,1.5,2.5,0,0.015,1,8,20,20,1
776ffc46,train,0,6,5,3,3,9,0.5555555555555556,1.0,6.670832032063167,0,0.0125,1,8,20,20,0
776ffc46,train,0,7,6,2,3,6,1.0,1.5,9.5524865872714,0,0.015,1,8,20,20,1
776ffc46,train,1,0,24,7,7,49,0.4897959183673469,1.0,5.70087712549569,0,0.06,5,6,20,20,0
776ffc46,train,1,1,9,3,3,9,1.0,1.0,5.70087712549569,0,0.0225,3,6,20,20,0
776ffc46,train,1,2,9,3,3,9,1.0,1.0,6.519202405202649,0,0.0225,1,6,20,20,1
776ffc46,train,1,3,3,3,1,3,1.0,3.0,2.9154759474226504,0,0.0075,1,6,20,20,0
776ffc46,train,1,4,9,3,3,9,1.0,1.0,6.519202405202649,0,0.0225,1,6,20,20,1
776ffc46,train,1,5,9,3,5,15,0.6,1.6666666666666667,8.328517126767776,0,0.0225,1,6,20,20,0
776ffc46,train,2,0,12,6,7,42,0.2857142857142857,1.1666666666666667,7.786205751198718,1,0.03,5,8,20,20,0
776ffc46,train,2,1,8,3,4,12,0.6666666666666666,1.3333333333333333,10.077822185373186,0,0.02,3,8,20,20,0
776ffc46,train,2,2,24,7,7,49,0.4897959183673469,1.0,6.519202405202649,0,0.06,5,8,20,20,0
776ffc46,train,2,3,9,3,3,9,1.0,1.0,6.519202405202649,0,0.0225,3,8,20,20,0
776ffc46,train,2,4,8,3,4,12,0.6666666666666666,1.3333333333333333,7.00446286306095,0,0.02,1,8,20,20,0
776ffc46,train,2,5,9,3,3,9,1.0,1.0,1.5811388300841898,0,0.0225,1,8,20,20,1
776ffc46,train,2,6,4,4,1,4,1.0,4.0,6.020797289396148,0,0.01,1,8,20,20,0
776ffc46,train,2,7,5,3,3,9,0.5555555555555556,1.0,6.670832032063167,0,0.0125,1,8,20,20,0
776ffc46,train,3,0,24,7,7,49,0.4897959183673469,1.0,9.192388155425117,1,0.06,5,6,20,20,0
776ffc46,train,3,1,9,3,3,9,1.0,1.0,8.74642784226795,0,0.0225,1,6,20,20,0
776ffc46,train,3,2,5,3,3,9,0.5555555555555556,1.0,9.192388155425117,0,0.0125,2,6,20,20,0
776ffc46,train,3,3,5,3,3,9,0.5555555555555556,1.0,2.1213203435596424,0,0.0125,1,6,20,20,1
776ffc46,train,3,4,4,1,4,4,1.0,4.0,5.5901699437494745,0,0.01,1,6,20,20,0
776ffc46,train,3,5,5,3,3,9,0.5555555555555556,1.0,7.905694150420948,0,0.0125,1,6,20,20,1
776ffc46,test,0,0,13,6,8,48,0.2708333333333333,1.3333333333333333,7.322858755638372,1,0.0325,5,11,20,20,0
776ffc46,test,0,1,6,2,3,6,1.0,1.5,10.307764064044152,0,0.015,2,11,20,20,0
776ffc46,test,0,2,6,2,3,6,1.0,1.5,7.158910531638177,0,0.015,1,11,20,20,0
776ffc46,test,0,3,7,4,4,16,0.4375,1.0,7.276604949551455,0,0.0175,1,11,20,20,0
776ffc46,test,0,4,12,4,4,16,0.75,1.0,2.0,0,0.03,1,11,20,20,0
776ffc46,test,0,5,5,3,3,9,0.5555555555555556,1.0,7.516648189186454,0,0.0125,1,11,20,20,1
776ffc46,test,0,6,5,3,3,9,0.5555555555555556,1.0,5.522680508593631,0,0.0125,1,11,20,20,1
