Dimension,MRR,Top-1,Top-5,Top-10,IO_Accuracy
5,0.6061138009202531,0.5228310502283106,0.6997716894977168,0.7751141552511416,0.48787878787878786
10,0.6839084239330897,0.6038812785388128,0.7831050228310502,0.843607305936073,0.4909090909090909
15,0.701972500189893,0.634703196347032,0.7831050228310502,0.839041095890411,0.48484848484848486
20,0.7088906801152428,0.6358447488584474,0.7899543378995434,0.8527397260273972,0.5121212121212121
25,0.7216560374841412,0.6552511415525114,0.8059360730593608,0.8504566210045662,0.5060606060606061
30,0.7089756183933319,0.6381278538812786,0.8013698630136986,0.8504566210045662,0.5272727272727272
35,0.7135449056125792,0.6438356164383562,0.7968036529680366,0.8481735159817352,0.5333333333333333
40,0.7055956224223101,0.6335616438356164,0.7876712328767124,0.8424657534246576,0.5363636363636364
45,0.7068269769942815,0.634703196347032,0.7876712328767124,0.8424657534246576,0.5363636363636364
50,0.6925968526266003,0.613013698630137,0.7876712328767124,0.8424657534246576,0.5333333333333333
55,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
60,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
65,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
70,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
75,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
80,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
85,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
90,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
95,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
100,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
105,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
110,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
115,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
120,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
125,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
130,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
135,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
140,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
145,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
150,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
155,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
160,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
165,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
170,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
175,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
180,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
185,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
190,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
195,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
200,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
205,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
210,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
215,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
220,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
225,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
230,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
235,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
240,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
245,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
250,0.7159445786173099,0.6461187214611872,0.8070776255707762,0.8470319634703196,0.5333333333333333
