Metric,Input Mean,Input SD,Output Mean,Output SD,Mean Difference
height,12.594745552337608,7.059311060865018,11.103640877120398,6.898049753632726,-1.4911046752172115
width,13.158667769962763,7.04053032156412,11.531443938767067,6.948090472110285,-1.6272238311956972
area,208.22403806371534,213.8351089772714,169.21969383533306,194.98757629925743,-39.004344228382294
elongation,1.2955750029037454,0.8141340370360184,1.3187667753801668,1.0373181306533446,0.023191772476421443
entropy,1.0838772803298924,0.6084410518192122,1.230604569173082,0.5688409423723713,0.14672728884318983
color_diversity,3.3173355399255273,2.062503931327153,3.146462556888705,1.7763594887452498,-0.1708729830368225
comp_count,11.912908564335954,28.244397368754427,10.407943731899048,24.849755587828586,-1.5049648324369052
mean_comp_size,14.792493962198416,25.077800519903533,14.706766194299677,23.675349817790966,-0.08572776789873895
mean_comp_elong,1.6412537712918798,1.1744471718922713,1.7099617437890668,1.2066506883712984,0.06870797249718745
transition_density,0.3016151048645356,0.21129388638500313,0.35194800433890094,0.2155447923121666,0.05033289947436531
