task_id,subset,role,index,height,width,total_cells,unique_colors,has_divider,divider_type,orientation,color,contrast,occupancy,is_symmetric,edge_ratio,colors
00576224,Training,train_input,0,2,2,4,4,False,0,none,-1,0.0,0.0,False,0.0,
00576224,Training,train_output,0,6,6,36,4,False,0,none,-1,0.0,0.0,False,0.0,
00576224,Training,train_input,1,2,2,4,3,False,0,none,-1,0.0,0.0,False,0.0,
00576224,Training,train_output,1,6,6,36,3,False,0,none,-1,0.0,0.0,False,0.0,
00576224,Training,test_input,0,2,2,4,4,False,0,none,-1,0.0,0.0,False,0.0,
00576224,Training,test_output,0,6,6,36,4,False,0,none,-1,0.0,0.0,False,0.0,
007bbfb7,Training,train_input,0,3,3,9,2,True,3,non-straight,6,1.0,55.55555555555556,False,1.0,[6]
007bbfb7,Training,train_output,0,9,9,81,2,True,3,non-straight,6,1.0,30.864197530864196,False,0.44,[6]
007bbfb7,Training,train_input,1,3,3,9,2,False,0,none,-1,0.0,0.0,False,0.0,
007bbfb7,Training,train_output,1,9,9,81,2,False,0,none,-1,0.0,0.0,False,0.0,
007bbfb7,Training,train_input,2,3,3,9,2,False,0,none,-1,0.0,0.0,False,0.0,
007bbfb7,Training,train_output,2,9,9,81,2,False,0,none,-1,0.0,0.0,False,0.0,
007bbfb7,Training,train_input,3,3,3,9,2,True,1,horizontal,2,1.0,33.33333333333333,False,0.6666666666666666,[2]
007bbfb7,Training,train_output,3,9,9,81,2,True,1,horizontal,2,1.0,11.11111111111111,False,0.2222222222222222,[2]
007bbfb7,Training,train_input,4,3,3,9,2,True,1,horizontal,7,0.3333333333333333,33.33333333333333,True,0.6666666666666666,[7]
007bbfb7,Training,train_input,4,3,3,9,2,True,1,vertical,7,0.3333333333333333,33.33333333333333,True,0.6666666666666666,[7]
007bbfb7,Training,train_input,4,3,3,9,2,True,1,vertical,7,0.0,33.33333333333333,False,0.6666666666666666,[7]
007bbfb7,Training,train_input,4,3,3,9,2,True,3,non-straight,7,1.0,77.77777777777779,True,0.8571428571428571,[7]
007bbfb7,Training,train_output,4,9,9,81,2,True,1,horizontal,7,0.3333333333333333,11.11111111111111,True,0.2222222222222222,[7]
007bbfb7,Training,train_output,4,9,9,81,2,True,1,vertical,7,0.3333333333333333,11.11111111111111,True,0.2222222222222222,[7]
007bbfb7,Training,train_output,4,9,9,81,2,True,1,vertical,7,0.3333333333333333,11.11111111111111,False,0.2222222222222222,[7]
007bbfb7,Training,train_output,4,9,9,81,2,True,1,vertical,7,0.3333333333333333,11.11111111111111,False,0.2222222222222222,[7]
007bbfb7,Training,train_output,4,9,9,81,2,True,1,vertical,7,0.0,11.11111111111111,False,0.2222222222222222,[7]
007bbfb7,Training,train_output,4,9,9,81,2,True,3,non-straight,7,1.0,60.49382716049383,True,0.32653061224489793,[7]
007bbfb7,Training,test_input,0,3,3,9,2,True,1,vertical,7,0.6666666666666666,33.33333333333333,False,0.6666666666666666,[7]
007bbfb7,Training,test_input,0,3,3,9,2,True,3,non-straight,7,1.0,66.66666666666666,False,1.0,[7]
007bbfb7,Training,test_output,0,9,9,81,2,True,1,vertical,7,0.6666666666666666,11.11111111111111,False,0.2222222222222222,[7]
007bbfb7,Training,test_output,0,9,9,81,2,True,3,non-straight,7,1.0,44.44444444444444,False,0.5,[7]
009d5c81,Training,train_input,0,14,14,196,3,True,3,non-straight,8,1.0,15.816326530612246,False,0.0967741935483871,[8]
009d5c81,Training,train_output,0,14,14,196,2,True,3,non-straight,7,1.0,15.816326530612246,False,0.0967741935483871,[7]
009d5c81,Training,train_input,1,14,14,196,3,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,train_output,1,14,14,196,2,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,train_input,2,14,14,196,3,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,train_output,2,14,14,196,2,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,train_input,3,14,14,196,3,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,train_output,3,14,14,196,2,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,train_input,4,14,14,196,3,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,train_output,4,14,14,196,2,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,test_input,0,14,14,196,3,False,0,none,-1,0.0,0.0,False,0.0,
009d5c81,Training,test_output,0,14,14,196,2,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,train_input,0,10,10,100,2,True,3,non-straight,3,1.0,28.999999999999996,False,0.06896551724137931,[3]
00d62c1b,Training,train_output,0,10,10,100,3,True,3,non-straight,3,1.0,28.999999999999996,False,0.06896551724137931,[3]
00d62c1b,Training,train_input,1,10,10,100,2,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,train_output,1,10,10,100,3,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,train_input,2,10,10,100,2,True,3,non-straight,3,1.0,22.0,False,0.09090909090909091,[3]
00d62c1b,Training,train_output,2,10,10,100,3,True,3,non-straight,3,1.0,22.0,False,0.09090909090909091,[3]
00d62c1b,Training,train_input,3,20,20,400,2,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,train_output,3,20,20,400,3,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,train_input,4,6,6,36,2,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,train_output,4,6,6,36,3,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,test_input,0,20,20,400,2,False,0,none,-1,0.0,0.0,False,0.0,
00d62c1b,Training,test_output,0,20,20,400,3,False,0,none,-1,0.0,0.0,False,0.0,
00dbd492,Training,train_input,0,15,15,225,2,True,3,non-straight,2,1.0,14.222222222222221,False,0.53125,[2]
00dbd492,Training,train_output,0,15,15,225,4,False,0,none,-1,0.0,0.0,False,0.0,
00dbd492,Training,train_input,1,9,9,81,2,True,3,non-straight,2,1.0,29.629629629629626,False,0.5416666666666666,[2]
00dbd492,Training,train_output,1,9,9,81,3,False,0,none,-1,0.0,0.0,False,0.0,
00dbd492,Training,train_input,2,13,13,169,2,False,0,none,-1,0.0,0.0,False,0.0,
00dbd492,Training,train_output,2,13,13,169,4,False,0,none,-1,0.0,0.0,False,0.0,
00dbd492,Training,train_input,3,7,7,49,2,True,3,non-straight,2,1.0,32.6530612244898,False,0.5625,[2]
00dbd492,Training,train_output,3,7,7,49,3,False,0,none,-1,0.0,0.0,False,0.0,
00dbd492,Training,test_input,0,20,20,400,2,False,0,none,-1,0.0,0.0,False,0.0,
00dbd492,Training,test_output,0,20,20,400,5,False,0,none,-1,0.0,0.0,False,0.0,
017c7c7b,Training,train_input,0,6,3,18,2,True,3,non-straight,1,1.0,50.0,True,0.7777777777777778,[1]
017c7c7b,Training,train_output,0,9,3,27,2,True,3,non-straight,2,1.0,48.148148148148145,True,0.7692307692307693,[2]
017c7c7b,Training,train_input,1,6,3,18,2,True,1,vertical,1,0.75,33.33333333333333,True,0.3333333333333333,[1]
017c7c7b,Training,train_input,1,6,3,18,2,True,3,non-straight,1,1.0,50.0,False,0.5555555555555556,[1]
017c7c7b,Training,train_output,1,9,3,27,2,True,1,vertical,2,0.7777777777777778,33.33333333333333,True,0.2222222222222222,[2]
017c7c7b,Training,train_output,1,9,3,27,2,True,3,non-straight,2,1.0,48.148148148148145,False,0.46153846153846156,[2]
017c7c7b,Training,train_input,2,6,3,18,2,True,1,vertical,1,0.8333333333333334,33.33333333333333,True,0.3333333333333333,[1]
017c7c7b,Training,train_input,2,6,3,18,2,True,3,non-straight,1,1.0,44.44444444444444,True,0.5,[1]
017c7c7b,Training,train_output,2,9,3,27,2,True,1,vertical,2,0.8333333333333334,33.33333333333333,True,0.2222222222222222,[2]
017c7c7b,Training,train_output,2,9,3,27,2,True,3,non-straight,2,1.0,44.44444444444444,True,0.4166666666666667,[2]
017c7c7b,Training,test_input,0,6,3,18,2,True,1,horizontal,1,0.6666666666666666,16.666666666666664,False,0.6666666666666666,[1]
017c7c7b,Training,test_input,0,6,3,18,2,True,1,horizontal,1,0.6666666666666666,16.666666666666664,False,0.6666666666666666,[1]
017c7c7b,Training,test_input,0,6,3,18,2,True,1,vertical,1,0.6666666666666666,33.33333333333333,True,0.3333333333333333,[1]
017c7c7b,Training,test_input,0,6,3,18,2,True,3,non-straight,1,1.0,55.55555555555556,True,0.6,[1]
017c7c7b,Training,test_output,0,9,3,27,2,True,1,horizontal,2,0.6666666666666666,11.11111111111111,False,0.6666666666666666,[2]
017c7c7b,Training,test_output,0,9,3,27,2,True,1,horizontal,2,0.6666666666666666,11.11111111111111,False,0.6666666666666666,[2]
017c7c7b,Training,test_output,0,9,3,27,2,True,1,horizontal,2,0.6666666666666666,11.11111111111111,False,0.6666666666666666,[2]
017c7c7b,Training,test_output,0,9,3,27,2,True,1,vertical,2,0.6666666666666666,33.33333333333333,True,0.2222222222222222,[2]
017c7c7b,Training,test_output,0,9,3,27,2,True,3,non-straight,2,1.0,55.55555555555556,True,0.5333333333333333,[2]
025d127b,Training,train_input,0,8,9,72,2,False,0,none,-1,0.0,0.0,False,0.0,
025d127b,Training,train_output,0,8,9,72,2,False,0,none,-1,0.0,0.0,False,0.0,
025d127b,Training,train_input,1,14,9,126,3,False,0,none,-1,0.0,0.0,False,0.0,
025d127b,Training,train_output,1,14,9,126,3,False,0,none,-1,0.0,0.0,False,0.0,
025d127b,Training,test_input,0,10,10,100,2,False,0,none,-1,0.0,0.0,False,0.0,
025d127b,Training,test_output,0,10,10,100,2,False,0,none,-1,0.0,0.0,False,0.0,
03560426,Training,train_input,0,10,10,100,4,False,0,none,-1,0.0,0.0,False,0.0,
03560426,Training,train_output,0,10,10,100,4,False,0,none,-1,0.0,0.0,False,0.0,
03560426,Training,train_input,1,10,10,100,5,False,0,none,-1,0.0,0.0,False,0.0,
03560426,Training,train_output,1,10,10,100,5,False,0,none,-1,0.0,0.0,False,0.0,
03560426,Training,train_input,2,10,10,100,4,False,0,none,-1,0.0,0.0,False,0.0,
03560426,Training,train_output,2,10,10,100,4,False,0,none,-1,0.0,0.0,False,0.0,
03560426,Training,test_input,0,10,10,100,5,False,0,none,-1,0.0,0.0,False,0.0,
